Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Nintendo,816.87,418.74,455.42,95.33,1786.56,3572.92
Electronic Arts,595.07,371.27,14.04,129.77,1110.32,2220.47
Activision,429.70,215.53,6.54,75.34,727.46,1454.57
Sony Computer Entertainment,265.22,187.72,74.10,80.45,607.50,1214.99
Ubisoft,253.43,163.32,7.50,50.26,474.72,949.23
Take-Two Interactive,220.49,118.14,5.83,55.24,399.54,799.24
THQ,208.77,94.73,5.01,32.14,340.77,681.42
Konami Digital Entertainment,92.16,69.69,91.30,30.31,283.64,567.10
Sega,109.40,82.00,57.03,24.52,272.99,545.94
Namco Bandai Games,69.52,42.63,127.07,14.69,254.09,508.00
